0,0.236989
0.01,0.247899
0.02,0.259141
0.03,0.270708
0.04,0.282596
0.05,0.294794
0.06,0.307293
0.07,0.320082
0.08,0.333147
0.09,0.346473
0.1,0.360045
0.11,0.373844
0.12,0.387851
0.13,0.402047
0.14,0.416408
0.15,0.430913
0.16,0.445537
0.17,0.460257
0.18,0.475046
0.19,0.489878
0.2,0.504729
0.21,0.519571
0.22,0.534379
0.23,0.549127
0.24,0.563789
0.25,0.57834
0.26,0.592756
0.27,0.607014
0.28,0.621092
0.29,0.634969
0.3,0.648626
0.31,0.662043
0.32,0.675205
0.33,0.688095
0.34,0.700701
0.35,0.71301
0.36,0.725011
0.37,0.736696
0.38,0.748056
0.39,0.759087
0.4,0.769784
0.41,0.780143
0.42,0.790163
0.43,0.799844
0.44,0.809185
0.45,0.81819
0.46,0.826861
0.47,0.835202
0.48,0.843217
0.49,0.850912
0.5,0.858292
0.51,0.865365
0.52,0.872138
0.53,0.878618
0.54,0.884812
0.55,0.89073
0.56,0.89638
0.57,0.901769
0.58,0.906907
0.59,0.911803
0.6,0.916465
0.61,0.920903
0.62,0.925123
0.63,0.929136
0.64,0.932949
0.65,0.936571
0.66,0.94001
0.67,0.943274
0.68,0.94637
0.69,0.949307
0.7,0.952091
0.71,0.954729
0.72,0.957228
0.73,0.959596
0.74,0.961837
0.75,0.963959
0.76,0.965967
0.77,0.967867
0.78,0.969664
0.79,0.971364
0.8,0.972971
0.81,0.97449
0.82,0.975926
0.83,0.977283
0.839999,0.978565
0.849999,0.979777
0.859999,0.980921
0.869999,0.982001
0.879999,0.983022
0.889999,0.983985
0.899999,0.984895
0.909999,0.985754
0.919999,0.986565
0.929999,0.98733
0.939999,0.988052
0.949999,0.988733
0.959999,0.989376
0.969999,0.989983
0.979999,0.990555
0.989999,0.991095
0.999999,0.991604
